region,date,lwe_cm
Oum Er-Rbia (Al Massira),2016-02-14,1.301
Oum Er-Rbia (Al Massira),2016-03-16,0.65
Oum Er-Rbia (Al Massira),2016-05-20,-0.853
Oum Er-Rbia (Al Massira),2016-06-16,0.322
Oum Er-Rbia (Al Massira),2016-07-15,-0.014
Oum Er-Rbia (Al Massira),2016-08-21,-2.553
Oum Er-Rbia (Al Massira),2016-11-27,1.65
Oum Er-Rbia (Al Massira),2016-12-24,0.333
Oum Er-Rbia (Al Massira),2017-01-21,6.909
Oum Er-Rbia (Al Massira),2017-03-31,1.48
Oum Er-Rbia (Al Massira),2017-04-24,-0.619
Oum Er-Rbia (Al Massira),2017-05-13,-0.446
Oum Er-Rbia (Al Massira),2017-06-10,0.967
Oum Er-Rbia (Al Massira),2018-06-16,1.09
Oum Er-Rbia (Al Massira),2018-07-10,-0.797
Oum Er-Rbia (Al Massira),2018-10-31,0.977
Oum Er-Rbia (Al Massira),2018-11-16,2.149
Oum Er-Rbia (Al Massira),2018-12-16,3.084
Oum Er-Rbia (Al Massira),2019-01-16,1.455
Oum Er-Rbia (Al Massira),2019-02-15,1.733
Oum Er-Rbia (Al Massira),2019-03-16,-1.105
Oum Er-Rbia (Al Massira),2019-04-16,-1.801
Oum Er-Rbia (Al Massira),2019-05-16,-1.747
Oum Er-Rbia (Al Massira),2019-06-16,-2.219
Oum Er-Rbia (Al Massira),2019-07-16,-1.79
Oum Er-Rbia (Al Massira),2019-08-16,-3.007
Oum Er-Rbia (Al Massira),2019-09-16,-2.06
Oum Er-Rbia (Al Massira),2019-10-16,-2.743
Oum Er-Rbia (Al Massira),2019-11-16,-1.809
Oum Er-Rbia (Al Massira),2019-12-16,0.053
Oum Er-Rbia (Al Massira),2020-01-16,-2.204
Oum Er-Rbia (Al Massira),2020-02-15,-1.131
Oum Er-Rbia (Al Massira),2020-03-16,-2.687
Oum Er-Rbia (Al Massira),2020-04-16,-2.773
Oum Er-Rbia (Al Massira),2020-05-16,-1.983
Oum Er-Rbia (Al Massira),2020-06-16,-2.895
Oum Er-Rbia (Al Massira),2020-07-16,-3.505
Oum Er-Rbia (Al Massira),2020-08-16,-7.773
Oum Er-Rbia (Al Massira),2020-09-16,-3.364
Oum Er-Rbia (Al Massira),2020-10-16,-9.529
Oum Er-Rbia (Al Massira),2020-11-16,-7.224
Oum Er-Rbia (Al Massira),2020-12-16,-2.779
Oum Er-Rbia (Al Massira),2021-01-16,-2.364
Oum Er-Rbia (Al Massira),2021-02-15,-1.783
Oum Er-Rbia (Al Massira),2021-03-16,-1.158
Oum Er-Rbia (Al Massira),2021-04-16,-2.49
Oum Er-Rbia (Al Massira),2021-05-16,-7.606
Oum Er-Rbia (Al Massira),2021-06-16,-2.463
Oum Er-Rbia (Al Massira),2021-07-16,-2.192
Oum Er-Rbia (Al Massira),2021-08-16,-3.123
Oum Er-Rbia (Al Massira),2021-09-16,-8.442
Oum Er-Rbia (Al Massira),2021-10-16,-5.329
Oum Er-Rbia (Al Massira),2021-11-16,-5.764
